,Date,High
0,1980-12-12,0.515625
1,1980-12-15,0.488839
2,1980-12-16,0.453125
3,1980-12-17,0.464286
4,1980-12-18,0.477679
5,1980-12-19,0.506696
6,1980-12-22,0.53125
7,1980-12-23,0.553571
8,1980-12-24,0.582589
9,1980-12-26,0.636161
10,1980-12-29,0.645089
11,1980-12-30,0.629464
12,1980-12-31,0.611607
13,1981-01-02,0.620536
14,1981-01-05,0.604911
15,1981-01-06,0.578125
16,1981-01-07,0.553571
17,1981-01-08,0.542411
18,1981-01-09,0.571429
19,1981-01-12,0.569196
20,1981-01-13,0.546875
21,1981-01-14,0.549107
22,1981-01-15,0.5625
23,1981-01-16,0.555804
24,1981-01-19,0.589286
25,1981-01-20,0.571429
26,1981-01-21,0.584821
27,1981-01-22,0.591518
28,1981-01-23,0.589286
29,1981-01-26,0.578125
30,1981-01-27,0.575893
31,1981-01-28,0.555804
32,1981-01-29,0.535714
33,1981-01-30,0.508929
34,1981-02-02,0.477679
35,1981-02-03,0.495536
36,1981-02-04,0.513393
37,1981-02-05,0.515625
38,1981-02-06,0.515625
39,1981-02-09,0.491071
40,1981-02-10,0.488839
41,1981-02-11,0.473214
42,1981-02-12,0.46875
43,1981-02-13,0.459821
44,1981-02-17,0.46875
45,1981-02-18,0.491071
46,1981-02-19,0.459821
47,1981-02-20,0.43526800000000004
48,1981-02-23,0.441964
49,1981-02-24,0.428571
50,1981-02-25,0.453125
51,1981-02-26,0.459821
52,1981-02-27,0.477679
53,1981-03-02,0.477679
54,1981-03-03,0.47098199999999996
55,1981-03-04,0.46651800000000004
56,1981-03-05,0.464286
57,1981-03-06,0.462054
58,1981-03-09,0.42410699999999996
59,1981-03-10,0.404018
60,1981-03-11,0.390625
61,1981-03-12,0.404018
62,1981-03-13,0.399554
63,1981-03-16,0.417411
64,1981-03-17,0.4375
65,1981-03-18,0.464286
66,1981-03-19,0.457589
67,1981-03-20,0.464286
68,1981-03-23,0.48214300000000004
69,1981-03-24,0.477679
70,1981-03-25,0.47098199999999996
71,1981-03-26,0.459821
72,1981-03-27,0.444196
73,1981-03-30,0.446429
74,1981-03-31,0.441964
75,1981-04-01,0.43526800000000004
76,1981-04-02,0.473214
77,1981-04-03,0.475446
78,1981-04-06,0.46651800000000004
79,1981-04-07,0.462054
80,1981-04-08,0.48660699999999996
81,1981-04-09,0.493304
82,1981-04-10,0.5
83,1981-04-13,0.5
84,1981-04-14,0.5
85,1981-04-15,0.475446
86,1981-04-16,0.448661
87,1981-04-20,0.462054
88,1981-04-21,0.493304
89,1981-04-22,0.511161
90,1981-04-23,0.524554
91,1981-04-24,0.522321
92,1981-04-27,0.515625
93,1981-04-28,0.506696
94,1981-04-29,0.5
95,1981-04-30,0.511161
96,1981-05-01,0.511161
97,1981-05-04,0.506696
98,1981-05-05,0.504464
99,1981-05-06,0.491071
100,1981-05-07,0.49776800000000004
101,1981-05-08,0.502232
102,1981-05-11,0.491071
103,1981-05-12,0.495536
104,1981-05-13,0.493304
105,1981-05-14,0.484375
